eid,code,phase,noise,wet
25,MAKU,S,0.000,0.000
25,ZRD,S,0.000,0.000
25,ZNJK,P,0.000,0.000
25,GANJ,S,0.000,0.000
25,GNI,P,0.000,0.000
25,VANB,P,0.000,0.000
26,TVRZ,P,0.000,0.000
26,TVRZ,S,0.000,0.000
26,TAHR,S,0.000,0.000
26,HRS,P,0.000,0.000
26,HRS,S,0.000,0.000
26,FTB,P,0.000,0.000
26,TABZ,P,0.000,0.000
26,TABZ,S,0.000,0.000
26,TBZ,P,0.000,0.000
26,TBZ,S,0.000,0.000
26,ORD,P,0.000,0.000
26,MRD,P,0.000,0.000
26,SHB,P,0.000,0.000
26,SHB,S,0.000,0.000
26,GRMI,P,0.000,0.000
